"symbol"	"ensembl_gene_id"	"entrez_id"
"AUNIP"	"ENSG00000127423"	79000
"AURKAIP1"	"ENSG00000175756"	54998
"AVIL"	"ENSG00000135407"	10677
"AVPI1"	"ENSG00000119986"	60370
"AVPR1B"	"ENSG00000198049"	553
"AXDND1"	"ENSG00000162779"	126859
"AZIN2"	"ENSG00000142920"	113451
"B3GALNT2"	"ENSG00000282880"	148789
"B3GALNT2"	"ENSG00000162885"	148789
"B3GALT2"	"ENSG00000162630"	8707
"B3GALT6"	"ENSG00000176022"	126792
"B3GAT1"	"ENSG00000109956"	27087
"B3GAT3"	"ENSG00000149541"	26229
"B3GNT6"	"ENSG00000198488"	192134
"B4GALNT1"	"ENSG00000135454"	2583
"B4GALNT3"	"ENSG00000139044"	283358
"B4GALNT4"	"ENSG00000182272"	338707
"B4GALT2"	"ENSG00000117411"	8704
"B4GALT3"	"ENSG00000158850"	8703
"B4GAT1"	"ENSG00000174684"	11041
"BACE1"	"ENSG00000186318"	23621
"BAD"	"ENSG00000002330"	572
"BAG3"	"ENSG00000151929"	9531
"BAMBI"	"ENSG00000095739"	25805
"BANF1"	"ENSG00000175334"	8815
"BARHL2"	"ENSG00000143032"	343472
"BARX2"	"ENSG00000043039"	8538
"BATF2"	"ENSG00000168062"	116071
"BATF3"	"ENSG00000123685"	55509
"BAZ2A"	"ENSG00000076108"	11176
"BBIP1"	"ENSG00000214413"	92482
"BBOX1"	"ENSG00000129151"	8424
"BBS1"	"ENSG00000174483"	582
"BCAN"	"ENSG00000132692"	63827
"BCAR3"	"ENSG00000137936"	8412
"BCAR3"	"ENSG00000137936"	723788
"BCAS2"	"ENSG00000116752"	10286
"BCAT1"	"ENSG00000060982"	586
"BCCIP"	"ENSG00000107949"	56647
"BCDIN3D"	"ENSG00000186666"	144233
"BCL10"	"ENSG00000142867"	8915
"BCL2L14"	"ENSG00000281449"	79370
"BCL2L14"	"ENSG00000121380"	79370
"BCL2L15"	"ENSG00000188761"	440603
"BCL9"	"ENSG00000116128"	607
"BCL9L"	"ENSG00000186174"	283149
"BCO2"	"ENSG00000197580"	83875
"BDNF"	"ENSG00000176697"	627
"BEND5"	"ENSG00000162373"	79656
"BEND7"	"ENSG00000165626"	222389
