GeneA GeneB
100170841 8460
7004 51282
342125 85409
80727 6620
63950 84065
9372 10489
346171 83990
386675 9824
64167 55701
54726 399697
399473 7481
5987 4883
147040 9351
23787 1952
6169 3932
80313 6936
6878 9129
644353 57758
387763 2137
10473 142940
139189 91179
113675 6934
24140 466
402682 9411
375611 30009
7044 55650
100499483 4668
9666 399473
2204 60494
55937 6659
27090 1482
147040 143879
51412 8463
155382 6231
85290 54346
9830 9399
392138 10942
644353 145407
401612 3205
56126 3373
9320 283337
402415 343263
7135 147040
8463 30846
60436 23334
3228 340485
9618 9672
10309 4692
282890 1370
10858 10076
55422 23439
10168 83449
9532 3042
10949 23179
9755 54780
64167 8642
157869 147040
54492 30811
84629 408050
7280 162989
54510 54587
139231 29950
56996 9755
1861 80778
4956 399473
378925 343637
10168 79822
8913 219738
27065 10376
388552 145258
7978 9824
389084 9411
29882 10607
25992 84939
9684 10395
56951 84823
60491 256933
64375 121274
51296 348378
81628 162282
1515 84892
219432 8318
1655 5599
57827 79924
113091 2894
390321 28985
84924 7423
51160 83657
11188 2735
836 118460
22914 149699
152185 121340
154790 390072
8266 53917
10117 58475
10084 1406
10971 403
4951 64324
79921 145407
8386 57148
115557 8835
147040 57216
51247 1819
5099 390598
283807 2963
126432 118472
5569 338442
8927 11007
6625 100125288
135941 127833
146330 8690
285636 23334
23424 375612
80108 133522
7555 7322
57050 54894
220441 221188
8648 5598
5883 2134
90060 203523
256933 79096
55643 51087
554235 59271
56666 84687
51399 6430
100170841 58538
3750 80108
390429 10612
79324 91392
126129 7556
79012 116729
54958 79142
222950 81575
285349 56269
9755 7158
139728 84285
523 5986
6872 3198
11040 23644
154790 5187
7545 7348
7423 54541
100507050 23369
121274 11234
169200 84336
162466 8045
6580 51281
4809 429
56654 3207
65989 66005
285782 53841
55125 6773
6813 83460
94026 23131
221833 725
8819 283742
3188 9331
161497 81855
11326 6601
100130519 3718
11093 168002
7572 30851
2185 219875
1565 140838
6853 9581
79192 55257
2565 55128
339488 10279
90809 6884
57335 60673
1735 57187
8045 54344
9573 26005
55721 345079
10168 9986
2909 146212
55777 9129
58473 84230
50717 54620
6191 57593
22827 199834
4771 7170
51441 84557
23269 23137
2303 205
375567 255057
7461 338761
55422 55285
11180 9581
284273 7170
57495 128637
57655 57062
56130 148170
79581 81629
79969 2145
3059 122509
6886 116840
360 126308
147040 5612
3228 63892
4162 51058
9208 23139
84247 9143
4082 6744
26115 728858
8708 7572
84541 91300
1856 220382
732 388585
50618 81539
390259 11244
1746 4692
79931 3188
9782 55128
22907 55323
57106 84446
54994 126308
4037 390616
257397 1396
22882 147040
26737 131583
3202 6861
11034 439
286046 160
9755 284058
7586 9668
152185 84687
162282 147040
6612 8175
2146 11047
57404 84101
91151 10472
554235 23351
9337 4637
442361 5592
401612 11096
23350 3229
100526739 2619
222962 1609
7224 54765
57495 219875
196951 254268
80332 196483
118442 7080
4832 2184
8266 11180
22983 11007
22832 80778
5013 121504
91392 51585
117608 54681
9684 57106
53838 257106
79921 64430
30832 79047
84851 55164
392862 284656
10097 399473
51477 80148
2581 7106
29934 389432
401250 3882
402682 9682
5311 148170
2189 10489
79665 23032
8372 10633
54681 200312
79027 55272
85459 4617
51477 160760
50940 121340
8668 5744
56126 30836
84221 5956
55791 6018
25822 8339
115265 84034
6640 79190
26548 79677
125336 161497
84936 27079
286046 390072
56245 7770
56996 160760
26525 79009
114960 80071
7584 2637
10763 8751
25798 28956
4692 5557
5438 6209
9028 1314
154790 6310
2649 7574
91663 10472
25817 6886
347404 64856
342900 1269
57677 23014
203523 80019
28952 91179
3198 5292
200312 7538
29942 9351
55544 10095
57574 283948
284451 7389
3174 26517
399473 10664
54809 5875
27341 26145
338707 10410
26504 57447
100271849 11130
115265 79096
10857 10076
9130 377
85460 162972
7589 51230
9684 55362
10799 55034
9715 126006
56652 10726
6853 345462
100131244 3643
6201 9318
57343 253461
138311 79705
399473 3215
126374 57192
10123 55508
63035 6567
400916 506
51015 7556
2719 124925
2002 9668
9671 7423
286046 53917
55893 22984
10215 7073
4703 155184
51441 64090
55137 147381
11245 23401
85291 22997
8603 221927
84654 2814
118491 84226
8339 2011
58513 78995
5456 53917
219484 58985
26039 5599
57688 164633
492311 64766
2902 92
81488 51310
2323 55011
55049 9830
728276 83540
84924 9684
25798 63974
121504 64757
79690 201895
80758 10083
375612 5010
20 6169
51160 84687
20 164633
27067 23054
4956 55128
54806 25959
2788 10465
387119 8330
8386 143425
4232 26051
643669 140876
1287 55640
55207 126375
165140 2120
64900 83547
29919 25925
64167 65095
139599 4214
23499 6360
139628 57396
6649 55974
55586 201164
375791 285671
368 1429
51412 26585
66035 79154
55343 643965
64847 55509
3340 55502
390259 126006
29934 55515
823 282996
389400 10217
6949 2615
64478 23275
51157 9184
10472 54627
26960 10092
