GeneA GeneB
30 501
310 7157
11320 51495
3398 22974
2954 11278
8741 8508
2664 54438
7032 23014
975 4118
3358 1429
80150 9961
863 7048
9638 5831
4851 57048
8625 79833
51593 9181
10544 10434
4947 2261
9903 392
10413 58478
51422 4830
79600 5468
114904 26227
84669 1445
51160 2920
169841 211
4436 54504
121599 6182
3202 83464
9448 283450
11116 39
8550 51382
27242 54499
6427 25788
55748 10494
3221 51573
4173 5092
3373 8061
8050 1978
5590 3930
8022 1514
8727 983
90861 10328
54851 64431
650 10797
5243 9761
5202 10947
200879 9270
54998 3157
6647 6182
10928 8869
22944 22908
79142 10969
1432 1066
9817 3339
6548 965
5997 10190
6890 55958
2224 2171
2132 1066
1903 81539
9831 22875
1021 6509
6233 203068
5782 528
4616 9847
23378 26578
55179 57406
6188 55699
139760 9697
23475 2961
4664 7593
221188 10046
3560 55238
3669 1029
56993 5236
4038 79075
29883 10857
7840 10123
9710 7545
4097 10589
10856 10444
7444 5361
998 223
2776 3223
5607 10478
54469 207
1488 11197
112885 55101
6857 873
2956 8520
9448 6141
2896 9641
55120 55831
481 9181
9897 3998
2961 79657
2956 8851
1747 8061
10914 23636
5910 51382
84722 4282
25898 6990
5664 5058
1244 994
11331 8518
167465 6790
9955 56889
2230 8914
57154 25839
6203 23536
8050 85377
7090 10904
60493 1155
2159 10551
79145 8870
23097 3385
3146 9587
9517 51382
2542 64746
892 9690
9247 29928
23499 57215
55437 158471
5901 51005
54512 51021
8202 79707
57178 211
5452 991
26959 54442
121599 8453
5362 10112
9869 4927
3572 3028
780 5720
7086 6304
51601 9915
10381 23511
8192 5058
7702 57192
7466 26471
9200 23585
3155 29083
9412 79902
4548 6382
4817 11325
23596 79921
5792 7103
6207 8343
85236 6868
5688 5018
3980 5829
23493 2624
167465 200081
637 6047
79712 10273
694 7701
2149 1465
7013 7015
23636 23621
6337 2958
23200 9859
808 5110
4216 10589
10444 5223
80018 8653
7855 9988
55892 23180
11325 10972
5782 9221
1616 79073
54733 54541
1490 387
7384 596
3716 23406
9891 9650
3074 10973
1958 5154
284086 22794
6391 4602
2185 10775
3172 8870
1021 10265
4191 80149
10921 79642
80216 154
1026 57405
1314 8878
162655 39
8462 6856
53343 5300
84433 51316
3706 11197
2065 124583
8727 2523
4792 1808
5562 868
5728 65109
8165 5829
4486 8869
25898 3988
25976 55281
431707 29928
7855 26140
51174 11014
221692 79872
7353 5627
847 7358
28512 9738
84515 9917
4190 3454
8826 10775
10559 9246
3746 8870
8974 6448
3988 64167
10614 6117
7071 51293
3667 79073
5590 9618
7775 55062
4189 1514
3708 643641
25797 4282
2767 3551
5313 6273
23014 1475
6189 1978
2987 51293
4125 4023
5127 55748
3126 9552
79080 11182
8435 26520
5499 26993
144811 347902
5716 26872
7840 81544
6196 3300
2335 9695
7832 2852
6799 51506
51053 6192
5298 835
9308 79850
79894 5287
10290 10682
1513 6657
2353 3098
378 55256
9784 3338
51160 51203
7132 64135
545 6790
9897 6182
57018 10190
5618 84890
1949 10381
10939 23131
2837 51021
117289 23170
22978 7466
6657 4303
10856 4776
6097 6810
23062 39
2184 4938
9341 4794
11198 55699
6857 54438
10127 79004
25793 125058
130497 207
5257 25949
185 4054
717 4232
26086 57192
7840 8815
65975 8821
4172 2146
7690 23576
56993 1802
388 9055
8403 2171
8607 2821
83999 7158
5440 10362
5573 7869
1287 58472
57721 6499
7089 1514
51274 55699
6208 71
9488 64429
23476 6609
4233 8324
275 1021
90655 9670
3313 79001
57178 5378
10401 23089
22933 6402
338557 5796
1409 54838
3486 1738
10827 54
10250 644
50846 4931
5465 9212
5547 10024
55703 64427
5682 10410
2224 8508
24140 12
51335 2697
3399 10273
5479 4983
1454 29927
4217 8562
8702 4860
51444 9851
5434 5693
6647 5211
126626 51282
47 9131
7466 7866
84678 5111
6197 158471
8634 5986
80216 29083
7159 4118
54556 5092
2618 8870
56616 57406
10652 2330
8896 9212
5979 7416
7301 51690
1123 23097
127396 54499
5993 80758
4837 429
5437 10137
91754 2131
2961 5111
221393 10273
31 5111
23635 58533
116832 8518
4835 23670
902 12
23244 11160
10481 10051
9568 8914
23466 1213
847 10180
55837 22889
7415 1390
4698 55108
6208 9851
4609 291
501 5058
1969 439
23510 3930
5873 10527
9122 991
27076 79902
4793 3988
9319 79022
1841 1050
55699 5106
5091 8678
6387 9111
64764 2961
3251 23670
4089 1161
4946 3454
2885 79085
9375 79717
57616 10498
54623 3945
23401 54477
54623 5050
22938 11282
901 293
5327 23335
26301 5092
79258 29082
5867 4072
6194 11224
389421 27122
22827 55184
5433 10493
56882 30001
847 8835
3087 644
23635 4125
158809 55585
55324 8573
2266 6150
3800 10057
55536 11232
91464 6790
9817 1969
6193 10379
50810 8321
596 10409
54998 27244
1212 11007
861 10153
6654 11041
1725 6382
1612 10953
178 7485
5106 11044
23493 6804
5581 23463
169270 11041
11124 1213
10681 1802
3458 6192
9052 1662
8703 965
3685 5223
6259 4303
10252 9926
22937 813
7018 57192
51056 23142
8678 8544
23476 55608
4125 5529
65263 8318
55278 5092
54205 5696
4108 8344
6723 6427
2861 55958
4547 55748
1154 51375
10887 23406
965 3161
481 56954
9448 1465
222545 4817
8503 2109
8550 22827
9612 81619
7167 4173
25976 991
3895 23256
8859 10551
291 5880
3298 23180
3199 10797
9156 5715
1717 1070
10038 54939
9641 23406
1459 54407
152687 10069
11162 23326
672 29916
58472 994
30 2624
65263 80212
929 2767
9958 7099
5328 6284
55038 6895
23061 9270
3308 54386
23761 115817
9488 2195
3978 3832
965 22904
5915 1445
10614 1445
4728 55793
5573 30968
355 80745
10493 5166
55193 2778
23429 3162
8444 3251
84312 6915
8833 10155
5599 4154
23196 23212
5327 51257
5832 51026
84878 10434
356 25793
1827 2582
47 3156
54749 7099
25913 11325
5230 4118
7386 10398
81550 6192
383 200081
220 7846
30836 891
163049 65123
7391 51569
3895 26872
55608 30
5603 6304
10538 6812
23369 6050
8611 2548
26576 9275
390980 3108
5901 6909
11200 2542
6655 22887
6670 80212
488 5216
3670 2959
29959 10682
353 1917
7335 56889
5300 7091
9833 230
308 51495
875 79902
7443 1831
64428 5971
5471 3685
5621 5216
3172 39
7465 672
8192 529
10150 79135
11344 26001
1903 1891
323 388650
9063 10810
85236 4794
339327 1500
2149 8573
25819 5747
54658 6182
9641 25793
7032 7070
8900 23635
10555 51203
3033 10313
10318 11098
54541 4118
54556 5467
8883 10589
10971 293
10607 58533
10142 10273
9451 23576
6195 3215
873 10668
23512 10733
6990 2736
23102 23635
4199 26520
6646 9801
2108 79143
23139 3930
2324 1153
10632 23576
29110 64428
6829 63874
2203 9690
1445 25984
5294 3122
11284 4118
2717 10265
1840 11284
7753 79902
2021 11072
4223 3162
4189 4478
1503 64429
22841 5216
3560 3665
1969 2956
1376 2548
8322 11331
3269 10146
3265 2817
1514 1051
5888 7982
847 259266
3172 55324
30849 991
7832 8870
6868 2042
4613 8859
81544 23463
51015 7846
8772 9787
23411 29087
85442 10273
23588 2109
2063 629
9448 26151
9589 5688
10494 85236
161 64781
1363 2201
5291 55793
29911 8914
9887 55567
26994 64943
80212 10409
2184 83461
3481 2517
54899 64943
6427 6947
10007 64960
5106 8309
64786 10254
3174 23705
10671 155066
833 37
90678 8678
9146 991
4172 10541
3421 9518
3609 10536
8738 58472
10525 1153
993 22934
27095 1808
6793 23
7040 9761
7108 10046
7994 3416
4212 4232
8848 11197
4154 6192
50810 23647
29079 51382
7321 55062
10868 6301
4793 79170
5437 3815
5927 1954
4886 991
22978 283638
161 4303
54600 4200
5781 51070
10868 1066
10482 23741
23499 9879
1062 22908
50865 1153
10406 2896
595 10051
23244 6182
4637 54504
64343 10644
64326 1465
1384 4118
513 3306
57693 79006
4968 5050
10645 1465
1062 4794
4282 1396
6944 1643
57634 5216
1385 123
5261 64167
126295 11151
4552 9143
7157 5982
55781 7913
4323 85236
2931 54438
51174 3162
823 7296
6196 10318
18 55748
1875 1635
644 23173
121599 29082
1666 2896
3399 12
7153 26511
115727 2264
284312 5867
5320 23200
1974 5373
3126 9710
4927 5743
58495 5270
10552 6304
3958 4885
10138 6603
6201 56915
283078 57192
5720 11197
2821 3329
55191 7846
54512 9868
9541 302
10489 10953
223 79143
3065 4885
8720 8349
2099 55699
80314 56924
9813 9927
9475 7153
717 6342
25825 79109
27020 3875
283078 6195
384 80853
8518 10962
4048 2113
10641 6135
5170 5111
51588 26523
501 57664
8444 81566
22827 3801
8837 51005
6576 5300
23408 5331
3046 23212
7076 57192
29888 5641
7389 5018
47 2542
25799 11167
3815 4118
5606 8985
1955 4791
159296 5359
8611 2553
51375 3628
2806 1759
27095 79850
8915 3553
169270 9053
10730 4833
984 4794
84333 4830
523 80212
8915 4792
9966 8574
10020 4704
5460 1846
356 1429
55278 1475
5966 582
3383 3930
11325 1728
1528 124222
760 7153
10914 64167
6818 55699
10421 9926
1456 54850
5737 27244
1173 5696
7124 9133
4191 3693
9246 3162
1892 158471
23753 58478
50 1647
6223 3832
3628 10904
9474 1831
874 28977
340385 10262
2827 5997
4613 2073
8655 54069
57459 51071
3487 10585
1756 301
976 84890
9788 7106
4947 79594
5427 1917
7832 7431
10421 7086
1788 29978
644 83461
4212 55008
8780 9531
10652 51439
3976 9093
64786 1978
1504 154
4129 6402
1956 5438
6223 2232
29915 57192
11214 7264
3978 4216
9687 7168
2746 7866
2767 3162
130 10551
3098 3800
1080 8312
1840 26872
25976 10982
3673 6182
55278 8503
596 55181
1182 6138
83983 55148
5728 123
2356 10146
7905 1759
340273 5092
9326 3383
4436 9817
2146 8349
5092 23077
1717 122616
11198 26520
4830 7018
65975 16
6184 51422
4016 1475
51444 328
5223 2235
51170 55256
10730 10857
472 9518
4088 10797
3032 390
833 5693
29890 3240
25989 1950
815 11197
3480 2548
9218 23338
6832 3832
9318 79797
1956 79081
387 27013
4216 57192
9500 55893
7167 51021
1958 54995
6601 51382
10664 10039
10673 23212
1845 10635
3783 2920
5599 7076
965 27301
64863 1490
26149 10273
440387 9022
3172 51495
8531 51031
6201 55699
3560 6574
2277 4638
65975 2697
85236 23649
7541 5927
10664 11230
51182 10493
9851 16
6392 4118
166 3329
11015 10046
3131 29902
27198 3157
7267 5029
6309 6919
3705 1509
54957 2801
10617 7181
7466 10953
847 55454
23483 57707
2731 79664
56956 2523
54941 5901
57547 9926
1195 8050
10555 23089
6722 6988
9709 3149
6657 4864
1314 10797
51021 7866
4067 9672
2355 3866
51599 843
27243 29082
475 1021
1969 4331
1499 5901
5982 5018
8611 3161
7057 2335
9308 7846
8444 23423
8915 3162
226 8870
5654 6443
178 79134
5636 6119
9319 2697
27316 1429
5320 5986
2737 4860
51293 203197
79073 54677
51335 51026
7416 11014
9276 55608
2266 216
9826 6603
90678 4282
4771 4496
1616 22883
5232 695
223 3945
5245 84823
3028 6402
5695 27235
9258 6277
2778 29911
1212 2737
5997 10797
94235 10058
7518 2523
11200 54477
2098 22934
7994 5236
10105 6192
60 327
55176 3148
231 28957
5930 10559
30811 5921
56848 200734
51295 5050
57674 5985
5688 23076
7334 404672
2302 9738
5621 466
23443 10190
9443 9270
5295 26519
28960 51604
1960 7846
54490 5800
8751 10617
9900 5708
3456 5050
9900 1345
283150 293
2664 10320
1848 8520
2063 3337
55011 22864
54546 55143
2147 6277
10617 53343
388650 47
1803 8837
3791 1808
1950 23670
2548 7866
3516 29082
7077 23091
57147 7076
3880 1465
7494 8318
127933 6832
57787 51056
2624 2063
55165 55125
6757 5211
55781 64080
3298 84890
6097 2274
149233 9133
8634 51514
5424 10059
7032 388650
10113 27244
83439 1788
5049 25814
598 2697
444 4023
5707 6182
7027 1917
533 1717
5601 5321
64422 3551
9031 5627
2064 324
5245 6509
5782 200734
1718 6696
1389 55958
8804 7844
3613 9833
5287 7319
22949 8574
10552 994
64215 5223
3419 10434
10465 63899
3693 11014
27347 1633
5347 701
400 4125
84547 1604
84759 2131
7483 56997
10682 1318
355 10046
1879 6856
10652 1605
58538 23142
9851 7296
7855 23406
3265 81566
3398 3570
9276 5909
84547 4638
64429 1643
7103 10038
150962 6192
6990 1475
10782 2852
501 51495
874 55759
23761 10969
8859 133
7185 1019
7157 23039
23361 3934
10533 6195
7528 9903
498 994
1949 5018
10797 6915
7052 23089
79080 347902
10460 26520
